domain,source_url,program_type,platform,contact_email,rewards_mentioned,reward_details,scope_summary,notes
ls2.io,https://ls2.io,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
lst.team,https://lst.team,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
luxresearchinc.com,https://luxresearchinc.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
luxurypresence.com,https://luxurypresence.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
madisonai.com,https://madisonai.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
magazord.com.br,https://magazord.com.br,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
magpieiq.com,https://magpieiq.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
mailerfind.com,https://mailerfind.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
mailsuite.com,https://mailsuite.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
mainframe.app,https://mainframe.app,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
makea.co,https://makea.co,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
makersights.com,https://makersights.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
malou.io,https://malou.io,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
mancommx.com,https://mancommx.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
mandaprofinanceiro.com,https://mandaprofinanceiro.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
maple.com,https://maple.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
marketingminer.com,https://marketingminer.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
marketlogicsoftware.com,https://marketlogicsoftware.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
mastheadata.com,https://mastheadata.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
mcleodsoftware.com,https://mcleodsoftware.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
mclogs.com,https://mclogs.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
meethero.ai,https://meethero.ai,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
meetleo.com,https://meetleo.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
melba.io,https://melba.io,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
melius.com,https://melius.com,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
memories.ai,https://memories.ai,none_found,NOT STATED,NOT STATED,False,NOT STATED,NOT STATED,Extracted via curl + keyword matching
